Isp 90d, 90d
260.0,11.88849914735088
280.0,11.331995346416976
300.0,10.190038392145535
320.0,8.507878386135648
340.0,7.48032274635203
360.0,6.678951650541462
380.0,5.586169285650252
400.0,4.146177008263716
420.0,2.763747150373074
440.0,2.1760124632304567
460.0,1.3223123841690851
480.0,0.12926145681909273
500.0,-0.7648215605429468
520.0,-1.4648308691084144
540.0,-2.3944926230910273
560.0,-3.5327437481396795
580.0,-4.311659906766366
600.0,-4.580460725735301
620.0,-4.990917818179785
640.0,-5.531699808598078
660.0,-6.191586634262122
680.0,-6.717296148562012
700.0,-7.16022145787538
720.0,-7.659265767281398
740.0,-8.232590830819907
760.0,-8.873097942632022
780.0,-9.278850361678074
800.0,-9.633871523818566
820.0,-9.858999063780537
840.0,-10.126110618432351
860.0,-10.431717630247588
880.0,-10.678360338204106
900.0,-10.929931486429673
920.0,-11.172335293724336
940.0,-11.429666901086305
960.0,-11.71052055500437
980.0,-11.860792317818492
1000.0,-11.981294815916861
1020.0,-12.105685523414978
1040.0,-12.203140418074067
1060.0,-12.315028283566441
1080.0,-12.429947228398818
1100.0,-12.54382742226097
1120.0,-12.669006551304712
1140.0,-12.801321006567818
1160.0,-12.94176453288608
1180.0,-13.073332305562783
1200.0,-13.093397210231899
1220.0,-13.120791410003319
1240.0,-13.157398851544924
1260.0,-13.213599494258052
1280.0,-13.275829141975493
1300.0,-13.325982680273714
1320.0,-13.37725180344985
1340.0,-13.433416092673248
1360.0,-13.484599695321526
1380.0,-13.53393663237126
1400.0,-13.566476130064837
1420.0,-13.566895119630512
1440.0,-13.570753279522451
1460.0,-13.578100775249055
1480.0,-13.591882768417404
1500.0,-13.608534284241811
1520.0,-13.62648959641074
1540.0,-13.646844761010637
1560.0,-13.669578287681125
1580.0,-13.703648170428155
1600.0,-13.747951111193768
1620.0,-13.794279077960159
1640.0,-13.726135861513972
1660.0,-13.655905455187328
1680.0,-13.587246673868774
1700.0,-13.54223630944236
1720.0,-13.499019554080437
1740.0,-13.500005439711565
1760.0,-13.506675107317307
1780.0,-13.514761989241858
1800.0,-13.484665679225898
1820.0,-13.406749543187887
1840.0,-13.300499022220546
1860.0,-13.17198059951748
1880.0,-13.043941187674863
1900.0,-12.916334180202815
