Isp Ariane62,Inject Height Ariane62,Sep. Mass Ariane62,Trans. Eff. Ariane62
260,2213.8988783312325,9488.818276566051,332.9861492056899
280,2291.3345994231404,9413.040842510816,359.9605696289908
300,2375.8602826244023,9330.951791907175,384.7078701428918
320,2479.724508773039,9230.97298607546,407.3786464371055
340,2619.0174381797515,9098.424780085586,427.9666150706739
360,2794.830832214193,8933.614935622123,446.2310578702348
380,2986.564918853748,8757.020220777227,462.0268320869214
400,3161.4729168509602,8598.751999224542,475.65098722283244
420,3366.584967584602,8416.556071674984,486.91071981980565
440,3578.3463465772893,8232.265815668155,496.05016769139957
460,3817.746643771212,8028.529544048906,502.8127096970858
480,4029.366531092077,7852.456003253784,508.32651580994695
500,4263.752889250865,7661.786679834202,511.79478547291336
520,4471.521943858808,7496.541685391816,514.4990368038239
540,4621.925714842637,7379.107157313385,517.6000356434175
560,4784.384693062897,7254.301432337722,519.4759540010858
580,4938.8261512139925,7137.602441912446,520.7738819035449
600,5097.798426438068,7019.443417725443,521.2059752989373
620,5266.98191124209,6895.861236528078,520.6392533228126
640,5437.941847536758,6773.227425637311,519.3967073370898
660,5618.401883296561,6646.201939083963,517.26710006929
680,5789.465320897245,6528.063045860141,514.9642033634017
700,5960.694073200195,6412.000270188322,512.2145483156407
720,6132.869521932438,6297.481005671874,509.0375954013587
740,6312.933416413982,6180.032433588821,505.21664626284803
760,6455.093068719245,6088.96295079966,502.51369344171246
780,6580.786859039999,6009.646535004463,500.18526842805693
800,6707.7741332545465,5930.6520065441455,497.58967368683466
820,6832.692068447206,5854.051363109864,494.87781333123104
840,6961.545018548388,5776.177704582596,491.8376811593947
860,7084.996070022371,5702.645199385579,488.8497809115492
880,7208.106426418202,5630.355559184463,485.73498185110964
900,7334.3972390515755,5557.268060541804,482.3706578834279
920,7463.223087518403,5483.819690147618,478.7958125560383
940,7595.437450819303,5409.590373782837,474.9904442230215
960,7722.949043850576,5339.095484746256,471.28303760677784
980,7845.830702359113,5272.167363259899,467.68089832962704
1000,7966.320357404287,5207.493160728997,464.10582268243
1020,8070.302729359935,5152.430001368568,461.11199153683026
1040,8176.34893530159,5096.984274278848,457.98501310934984
1060,8271.882467798758,5047.644499573607,455.2161902397181
1080,8368.723045118724,4998.214810485033,452.3540909406619
1100,8467.259952432938,4948.519466092428,449.3894748696462
1120,8563.66335736894,4900.481608801775,446.47384741199517
1140,8659.564815638189,4853.2602233341695,443.548808087837
1160,8756.42115242384,4806.137677352323,440.5632164076296
1180,8851.310837579862,4760.52229451957,437.63121013400365
1200,8947.647033757412,4714.764518554952,434.62763998356513
1220,9044.034434046696,4669.535746298028,431.60855385266876
1240,9141.679832275759,4624.276622538002,428.5325109712621
1260,9233.639832723322,4582.1640321071745,425.6581267987473
1280,9304.328384078664,4550.127359811934,423.55380392312867
1300,9375.822354057922,4518.019741568071,421.4073695492691
1320,9450.649138983268,4484.730213328896,419.12936050061387
1340,9528.133250496923,4450.595728615615,416.7476009928766
1360,9604.140182604293,4417.443251179937,414.41352389832457
1380,9677.95173589324,4385.560328219513,412.1534457546804
1400,9752.545244692135,4353.6499622035735,409.86189669188684
1420,9826.50679723435,4322.315990045048,407.590548518347
1440,9899.660022722268,4291.622327192021,405.3464539141781
1460,9972.585245905728,4261.3172931795825,403.1100460863796
1480,10039.55561546428,4233.742932825501,401.0808395352901
1500,10107.136541454554,4206.164191495409,399.0299265737421
1520,10175.32777300358,4178.586392886884,396.95856501636246
1540,10235.777588263969,4154.348123194457,395.15284707179626
1560,10295.869264913123,4130.446814225853,393.3587516291607
1580,10356.439866658464,4106.549050524003,391.5485019531081
1600,10416.968652050386,4082.861327109205,389.74049793005963
1620,10477.413792045329,4059.3983496685023,387.9367284727088
1640,10538.322658899797,4035.9483840295266,386.1195336994617
1660,10599.382692251893,4012.6336078118675,384.3000495319627
1680,10658.455795291273,3990.260759784802,382.5491429987723
1700,10717.957584294028,3967.906727354489,380.7872532042697
1720,10776.262401858101,3946.1777864245523,379.06789939403586
1740,10825.780433960099,3927.859120850173,377.6362618359785
1760,10875.603746627752,3909.552627910741,376.19586397176926
1780,10925.662943995008,3891.285251330214,374.749408579272
1800,10975.918548614802,3873.072423994686,373.29858740747903
1820,11026.476429612638,3854.8770467423956,371.84044153778564
1840,11076.121288598566,3837.1336070665966,370.41377564976085
1860,11125.819703409023,3819.4928559463806,368.98806995278323
1880,11175.036356470297,3802.1426589514326,367.58034350018545
1900,11222.582880785583,3785.4936685359453,366.22757917652507
1920,11270.389638267821,3768.8644361245606,364.86948988765573
1940,11319.959891104416,3751.7386368769817,363.4601210290151
1960,11370.36488633505,3734.4458405348814,362.0289805249177
1980,11421.050109381693,3717.1797170737636,360.59357528400335
2000,11466.015498109624,3701.9646656707882,359.33605278155943
2020,11504.136970478401,3689.140617689318,358.28803145388457
2040,11542.361490787483,3676.3509163016574,357.238194285407
2060,11580.514389285167,3663.653823018657,356.1919525516994
2080,11618.83135836196,3650.9708813798243,355.1423843337337
2100,11656.722307257398,3638.496444566873,354.107211765456
2120,11692.098759240544,3626.9101791398643,353.14821763391603
2140,11727.615361142914,3615.336419213644,352.18637912946065
2160,11763.271873334306,3603.7757186399685,351.2218592024272
2180,11799.06808403119,3592.228618342977,350.2548158366498
2200,11834.364979175723,3580.900152392342,349.3040224244004
2220,11869.6891096055,3569.6199604266676,348.35411568060306
2240,11905.147397388133,3558.3540767932664,347.40210340581535
2260,11940.739710295824,3547.102977773161,346.4481225080028
2280,11976.771397830766,3535.771310915831,345.483542749401
2300,12013.03092070395,3524.4270039508347,344.51464257750143
2320,12049.426878083468,3513.099314205285,343.54418034610296
2340,12084.609027008813,3502.2056614663998,342.61053411481026
2360,12119.251574619055,3491.53292067259,341.6943264183349
2380,12153.847707498448,3480.9275879554834,340.7815768929787
2400,12187.858698907341,3470.553169682784,339.8874152580534
2420,12221.987217410944,3460.194077545879,338.99211119329505
2440,12256.02341353246,3449.9138744740503,338.1015898990149
2460,12284.126218800055,3441.463928888908,337.37751712282454
2480,12312.31095047724,3433.0238948277,336.65229382906193
2500,12340.577496471655,3424.593999339214,335.9259922124915
2520,12374.161434302197,3414.623245610501,335.0552051423521
2540,12409.241000084785,3404.260380056635,334.1459645413959
2560,12444.439937885476,3393.915373286265,333.2362137019619
2580,12475.334716548565,3384.8790485106656,332.4456974561743
2600,12498.489570981674,3378.1332369112292,331.86585341382255
2620,12521.699959787515,3371.3941257319466,331.28511771687187
2640,12544.965773043656,3364.661850885141,330.703538314059
2660,12568.714248220807,3357.8135239850617,330.1097222890522
2680,12593.773583495939,3350.6129814635474,329.48170356014094
2700,12618.895310645024,3343.4210244583473,328.8530430316112
2720,12644.079363742876,3336.2377931027822,328.2237868293516
2740,12669.96770105735,3328.881326372623,327.5770007119075
2760,12700.792979591453,3320.1584124628826,326.8013502645257
2780,12731.707481650137,3311.4499016955697,326.025536940925
2800,12756.247984212521,3304.5651030953486,325.4186367659301
2820,12779.404559222938,3298.0913629466495,324.84893808427466
2840,12802.61321013392,3291.625216188102,324.2787958150057
2860,12825.888908088713,3285.1626021863485,323.70785514137
2880,12849.309328118597,3278.6821968091044,323.1341429254153
2900,12873.324992667403,3272.060347794269,322.5460921135359
2920,12897.928515576634,3265.3007629508397,321.9440497269908
2940,12922.588820554418,3258.5502409829232,321.34178713921136
2960,12947.305892999888,3251.808884157671,320.7393368929698
2980,12973.502148693311,3244.6910104663925,320.10049965014036
3000,13001.07571922021,3237.2287304383444,319.42825500963454
3020,13025.188785796177,3230.7279689487373,318.84535243525374
3040,13039.921609167617,3226.767521897964,318.50046300167355
3060,13054.676485844448,3222.8098310103123,318.1551455878987
3080,13069.453358231094,3218.8549351922557,317.8094174943111
3100,13084.252170955355,3214.902872541248,317.46329560363654
3120,13104.392230951722,3209.5383830762667,316.9834201040058
3140,13124.671029444311,3204.1531727772344,316.50083287259264
3160,13144.987885369963,3198.7741509428215,316.0180837821939
3180,13165.342776264351,3193.4013747619583,315.53519300146183
3200,13185.699644427259,3188.0443694877777,315.05307426746424
3220,13206.056190796658,3182.7037016056956,314.5717963550569
3240,13226.450464843201,3177.36939277332,314.0904312889118
3260,13243.875849706139,3172.8244847483684,313.6830205036801
3280,13261.108430854358,3168.3414928353022,313.2808662300214
3300,13279.9200856582,3163.460883942281,312.84050679943005
