Isp 360d, 360d
260.0,15.605231791948453
280.0,14.294655021125665
300.0,13.653880394850699
320.0,13.444200247483762
340.0,12.924962029127462
360.0,12.36189995011294
380.0,12.220335877178501
400.0,12.222297905505775
420.0,10.832013280437378
440.0,9.877503110358232
460.0,9.158249165334507
480.0,8.65445792021879
500.0,8.117466485907793
520.0,7.9083684388703155
540.0,7.762340620152624
560.0,7.540527194549755
580.0,7.252766884030476
600.0,6.87058163719094
620.0,6.766211833362154
640.0,6.656390674802543
660.0,6.467855883950374
680.0,6.32719879386196
700.0,6.130515089711558
720.0,5.872328365537734
740.0,5.700198444223263
760.0,5.539516573785151
780.0,5.331154224235398
800.0,5.175899523159871
820.0,5.098964550315034
840.0,4.981264924079825
860.0,4.826447627879248
880.0,4.740964521484631
900.0,4.679398272564006
920.0,4.584273173646376
940.0,4.460220400938537
960.0,4.354256566318672
980.0,4.340843985255489
1000.0,4.29914620456949
1020.0,4.2336278044079485
1040.0,4.146183722756667
1060.0,4.071251127664256
1080.0,4.02844099053947
1100.0,3.9664889323959076
1120.0,3.886641975297179
1140.0,3.790064956750356
1160.0,3.6885483828211343
1180.0,3.6572690976264735
1200.0,3.6086401501628873
1220.0,3.5452417957884688
1240.0,3.468646363780569
1260.0,3.379626949085775
1280.0,3.293233423004032
1300.0,3.2451470566810836
1320.0,3.1858343177619597
1340.0,3.116733537177143
1360.0,3.0403541926181705
1380.0,2.9538081761798356
1400.0,2.9098412105441103
1420.0,2.9086837015352787
1440.0,2.8974525081289166
1460.0,2.8765161283468714
1480.0,2.847386444447987
1500.0,2.8104426987772992
1520.0,2.7536503004561554
1540.0,2.718533931087757
1560.0,2.683725277626067
1580.0,2.6422223195946275
1600.0,2.59431027197363
1620.0,2.540261200143306
1640.0,2.4803347355488534
1660.0,2.4411462047900625
1680.0,2.35077463506664
1700.0,2.1937767827961356
1720.0,2.030571347969386
1740.0,1.861405671864213
1760.0,1.7176711632351374
1780.0,1.58381321893752
1800.0,1.5031209283945104
1820.0,1.9856800906807799
1840.0,2.0057678392787044
1860.0,2.0567269441597142
1880.0,2.1018286647258555
1900.0,2.149051117847948
1920.0,2.1833079635383155
1940.0,2.2920995021032398
1960.0,2.362155094305805
1980.0,2.3059889726069507
2000.0,2.2410307392725546
2020.0,2.1623713484252765
2040.0,2.08165042371495
2060.0,2.091229270719234
2080.0,2.090884101637962
2100.0,2.0806887325779586
2120.0,2.063205250835889
2140.0,2.036319758059576
2160.0,2.0028640075717408
2180.0,1.9695404632239757
2200.0,1.9267690615578272
2220.0,1.8746182558126983
2240.0,1.8133480063455716
2260.0,1.6436551188747224
2280.0,1.4510237417684009
2300.0,1.4539670245410972
2320.0,1.6271165502923755
2340.0,1.7963149540806416
2360.0,1.8473419936795477
2380.0,1.8018928528798444
2400.0,1.7500902137484138
2420.0,1.695022589727944
2440.0,1.6554179584315705
2460.0,1.662547135998903
2480.0,1.6868892068431711
2500.0,1.7059440470572154
2520.0,1.7197702823112913
2540.0,1.72842357667309
2560.0,1.7141468692913258
2580.0,1.6856166395484817
2600.0,1.6966657231811961
2620.0,1.7074473005633497
2640.0,1.7139634082204238
2660.0,1.6470314321935817
2680.0,1.5559688991596057
2700.0,1.4585369129109158
2720.0,1.3566323285182396
2740.0,1.3710460433194094
2760.0,1.3991404032045855
2780.0,1.3842535960290887
2800.0,1.3637540699276625
2820.0,1.3404381572409312
2840.0,1.314336873164304
2860.0,1.2854801093668886
2880.0,1.2533552741378966
2900.0,1.205078206344368
2920.0,1.1458652893112014
2940.0,1.0836755259786262
2960.0,1.0185376995645021
2980.0,0.9568772159776776
3000.0,0.9904864618459973
3020.0,1.0151400236249684
3040.0,1.0284029634574234
3060.0,0.9957444644990093
3080.0,0.9610569102335901
3100.0,0.9851334797960052
3120.0,1.0146601394641384
3140.0,1.04355713108244
3160.0,1.070875914889176
3180.0,1.096637788533597
3200.0,1.1127330314177353
3220.0,1.1145354422604963
3240.0,1.111544426848423
3260.0,1.1067356387907001
3280.0,1.1004205311833208
3300.0,1.092615534563641
3320.0,1.0833366054543296
3340.0,1.0719295645096407
3360.0,1.0439622112634972
3380.0,1.045581705949785
3400.0,1.0459353621220076
3420.0,1.0450376860077717
3440.0,1.042763301455563
3460.0,1.0389883239139381
3480.0,1.0340114619796499
3500.0,1.0240131921199953
3520.0,1.0083536909337198
3540.0,1.0041649282980363
3560.0,0.9988707180513766
3580.0,0.9922512283218949
