InjectionHeight,,TransferEfficiency,,SeparationMass,
X,Y,X,Y,X,Y
3544.3433173619183,14107.722758990874,2974.438601440888,1.9932572862337095,,
3605.424075209486,14170.471014492752,3043.3043528847475,1.9830667161744382,,
3673.002248109547,14241.062801932367,3116.841931829395,1.9747771418146358,,
3757.418080250701,14328.339920948616,3195.4822819428678,1.9647520238428793,,
3818.397711015739,14384.263285024153,3269.0198608875153,1.9564624494830771,,
3868.9106887390176,14431.660628019323,3337.88308891367,1.9478143184958963,,
,,3408.0185400326873,1.940853155329851,,
,,3477.516407611612,1.9339482643786239,,
,,3548.2890217011045,1.9271879021764422,,
,,3623.889474592343,1.9197444057405268,,
,,3690.6839406972617,1.9138492213310032,,
,,3758.692851640452,1.907846851750397,,
,,3828.8278821898516,1.9011427617630337,,
,,3879.83591122002,1.8958183504057975,,
