InjectionHeight,,TransferEfficiency,,SeparationMass,
X,Y,X,Y,X,Y
226.06035833504757,2774.939613526567,199.73538669883283,1.0322639639816118,223.63330835434954,4362.918679549113
293.41099529941835,3057.3067632850216,212.35815291292488,1.1099314489511953,301.7843177328265,4188.792270531398
341.49692304199834,3395.811191626408,224.97166659543245,1.193254543851776,374.41378840521554,3961.6150636802777
383.33319708428087,3697.4734299516895,237.5805540121478,1.279405443717856,447.6803596975377,3751.1231884057943
424.32000363331906,4032.7059849704747,250.2010070933436,1.358486831170188,517.7614278901937,3567.584541062799
466.7933782955348,4393.508454106277,262.82146017453954,1.4375682186225205,593.5764016622489,3389.693236714973
505.019415491529,4701.759259259257,275.430347591255,1.5237191184886,655.4459507535431,3271.099033816423
543.8825533074563,5004.83333333333,288.0484875395547,1.604214408423682,733.3138043009388,3139.327697262477
583.3827917433172,5323.908212560384,303.8641481945822,1.678558499704774,793.3074460113186,3048.734903381639
628.1922020119547,5659.454508856679,322.8595955374674,1.757591311366288,873.2635738129396,2949.200483091785
675.6713672593602,6001.992753623186,341.8581270575471,1.834738919717469,941.433340145796,2873.218050065874
724.8191293684955,6351.2540257648925,360.85820066622443,1.9109439264134847,1011.514408338452,2805.193236714973
773.6635102300437,6678.329307568436,379.85210592051203,1.9909193397301648,1088.6035833503734,2743.072463768114
823.5697254581472,7008.934178743959,402.05124232451453,2.060030546117024,1158.0475509230964,2684.5454545454522
869.2286032200292,7283.065619967792,430.63184976231514,2.1251342497613654,1228.1286191157524,2634.4894598155443
921.5239457728823,7601.905193236713,459.21685215261846,2.187551538688483,1308.5625723823237,2582.829106280191
979.6593773417902,7924.862620772945,490.98272069279744,2.253997726837407,1381.0327678997292,2541.6505636070833
1036.0882893930197,8198.405797101448,538.7005962214915,2.3114463099231357,1457.4848422917175,2503.5737812911702
1097.5229920294387,8493.479468599031,602.3536209065336,2.3702016378578277,1527.5659104843735,2472.770092226612
1177.1605695210933,8874.803469477381,672.42430430446,2.402829744208767,1597.6469786770294,2441.9664031620523
1252.0198923632488,9186.690821256037,742.5235864363743,2.4179768744093497,1665.6043781365747,2414.5853462157793
1332.8962766158847,9497.294685990337,841.3313712267637,2.420051754617164,1728.7076776347235,2391.7270531400936
1402.9773448085407,9767.112184648415,921.0322577256371,2.411218215514119,1791.9626677566666,2367.5241545893696
1486.154370188713,10047.910628019323,991.1769613762389,2.3986014424170756,1884.3422576469857,2339.287439613523
1567.612235165891,10318.176328502414,1058.7769664993452,2.38276497758497,1973.536344437639,2311.0507246376783
1634.9628721302615,10511.799516908211,1133.3930822090201,2.364664250046302,2062.7304312282918,2282.8140096618336
1703.56495674093,10702.649456521738,1199.081892819434,2.348045431097529,2136.350947309466,2260.8521202361753
1780.5858709721447,10911.14734299517,1273.2020214332288,2.330042741841441,2202.255466993671,2243.28260869565
1858.8582328496564,11097.375201288243,1341.9370691859685,2.3131522103865514,2269.788132706594,2226.3405797101423
1930.7595885278356,11268.140096618357,1407.8376646367556,2.2969687966485095,2343.054703998916,2198.1038647342975
