Isp Ariane62,Inject Height Ariane62,Sep. Mass Ariane62,Trans. Eff. Ariane62
260,2213.8988783312325,8768.457564203563,307.70690655847375
280,2291.3345994231404,8670.88499440534,331.58006578255515
300,2375.8602826244023,8558.000076381306,352.8396733249471
320,2479.724508773039,8436.246956292185,372.3060257296443
340,2619.0174381797515,8291.083209432694,389.9913339039367
360,2794.830832214193,8135.085037407904,406.34475833875314
380,2986.564918853748,7979.6200010629545,421.01062432185785
400,3161.4729168509602,7824.581041797489,432.8267285149838
420,3366.584967584602,7684.119376901695,444.5381299817001
440,3578.3463465772893,7543.657712005902,454.5568324488478
460,3817.746643771212,7396.547774606615,463.2328010439525
480,4029.366531092077,7249.531750688828,469.2963850487348
500,4263.752889250865,7121.304988799884,475.69149486016397
520,4471.521943858808,6993.07822691094,479.9455753111605
540,4621.925714842637,6878.136709139755,482.45996838284435
560,4784.384693062897,6767.432988553897,484.6116115600351
580,4938.8261512139925,6658.39676815774,485.8100686367785
600,5097.798426438068,6551.953721337334,486.49404606920893
620,5266.98191124209,6445.510674516929,486.63767291151004
640,5437.941847536758,6348.7921782845615,486.849406604444
660,5618.401883296561,6261.340076084385,487.3136948574564
680,5789.465320897245,6173.887973884208,487.0252140322668
700,5960.694073200195,6090.676560779021,486.54600936634995
720,6132.869521932438,6009.506707159627,485.7600747037908
740,6312.933416413982,5928.336853540233,484.6405735321931
760,6455.093068719245,5850.21666352515,482.810292454841
780,6580.786859039999,5776.881361613358,480.81213058123245
800,6707.7741332545465,5703.546059701566,478.53517953390786
820,6832.692068447206,5630.210757789774,475.9552343471105
840,6961.545018548388,5562.441970389505,473.6382258685664
860,7084.996070022371,5501.749420357865,471.62832417874495
880,7208.106426418202,5441.056870326225,469.40404249382436
900,7334.3972390515755,5380.364320294586,467.0154199075995
920,7463.223087518403,5326.772769056657,465.08394520046767
940,7595.437450819303,5274.748611104011,463.1506293148471
960,7722.949043850576,5222.724453151363,461.0109431263245
980,7845.830702359113,5173.017124544201,458.885526423322
1000,7966.320357404287,5129.043340060128,457.1141632722201
1020,8070.302729359935,5085.069555576055,455.08363029719305
1040,8176.34893530159,5041.5684907511395,453.00567690196215
1060,8271.882467798758,5000.863586356634,450.9973057496625
1080,8368.723045118724,4960.158681962128,448.9098921466071
1100,8467.259952432938,4919.453777567622,446.74993498455785
1120,8563.66335736894,4879.766554268716,444.58653697293295
1140,8659.564815638189,4841.113732448574,442.43871686939127
1160,8756.42115242384,4802.460910628433,440.22617900200333
1180,8851.310837579862,4763.808088808292,437.93327071514614
1200,8947.647033757412,4727.848412881936,435.8337706589683
1220,9044.034434046696,4696.578202643805,434.10810757924156
1240,9141.679832275759,4665.307992405672,432.3348950830354
1260,9233.639832723322,4634.03778216754,430.4769161580989
1280,9304.328384078664,4603.55237590269,428.52693258536226
1300,9375.822354057922,4573.644347068487,426.595620160589
1320,9450.649138983268,4543.736318234283,424.6438931119902
1340,9528.133250496923,4513.8282894000795,422.66861013826554
1360,9604.140182604293,4485.381799449886,420.78704169950197
1380,9677.95173589324,4458.095301410159,418.9702574961312
1400,9752.545244692135,4430.808803370432,417.12579463079925
1420,9826.50679723435,4403.522305330704,415.2482317295388
1440,9899.660022722268,4378.738686433374,413.5746493620055
1460,9972.585245905728,4356.102520354143,412.076493470103
1480,10039.55561546428,4333.466354274912,410.5280719796956
1500,10107.136541454554,4310.830188195681,408.95936895322006
1520,10175.32777300358,4288.1940221164505,407.3711024447808
1540,10235.777588263969,4265.55785603722,405.73088272305995
1560,10295.869264913123,4242.921689957989,404.0701779463472
1580,10356.439866658464,4220.285523878758,402.39297141191105
1600,10416.968652050386,4198.344163783175,400.76422238742595
1620,10477.413792045329,4179.665077511275,399.4300279532224
1640,10538.322658899797,4160.985991239374,398.08189248031414
1660,10599.382692251893,4142.306904967474,396.7191885290682
1680,10658.455795291273,4123.627818695573,395.33513799057175
1700,10717.957584294028,4102.8902043487005,393.7411835671584
1720,10776.262401858101,4082.1385194763843,392.12822061304706
1740,10825.780433960099,4061.386834604068,390.47402029983374
1760,10875.603746627752,4040.635149731752,388.80925154865065
1780,10925.662943995008,4023.4748286789027,387.4798980531112
1800,10975.918548614802,4007.560253187664,386.2609364588961
1820,11026.476429612638,3991.6456776964246,385.03310825732245
1840,11076.121288598566,3975.731102205186,383.7931433567747
1860,11125.819703409023,3960.9274166005666,382.65157647804335
1880,11175.036356470297,3947.389537636331,381.62239882223605
1900,11222.582880785583,3933.8516586720957,380.5804727054873
1920,11270.389638267821,3919.924899641212,379.4938827783136
1940,11319.959891104416,3904.8261222578262,378.2908971970656
1960,11370.36488633505,3889.727344874441,377.0824602407661
1980,11421.050109381693,3874.6285674910555,375.8672634609694
2000,11466.015498109624,3859.52979010767,374.63031812023877
2020,11504.136970478401,3844.4310127242848,373.3697796729653
2040,11542.361490787483,3829.332235340899,372.1036876556526
2060,11580.514389285167,3814.2334579575136,370.8317784671296
2080,11618.83135836196,3799.5007800214253,369.5903939350839
2100,11656.722307257398,3784.9349304382154,368.3589568797017
2120,11692.098759240544,3770.3690808550054,367.1166516292779
2140,11727.615361142914,3755.803231271795,365.8698907561266
2160,11763.271873334306,3741.609921222612,364.655099412789
2180,11799.06808403119,3727.604799668852,363.4544655518273
2200,11834.364979175723,3713.599678115092,362.24838728690554
2220,11869.6891096055,3699.594556561332,361.03815095589397
2240,11905.147397388133,3686.2805643892207,359.89156620604433
2260,11940.739710295824,3673.713022977606,358.8142175231723
2280,11976.771397830766,3661.1454815659918,357.7339709690548
2300,12013.03092070395,3648.5779401543773,356.6504636241224
2320,12049.426878083468,3636.0459449935947,355.56706832131516
2340,12084.609027008813,3623.5981899760077,354.48601004354543
2360,12119.251574619055,3611.1504349584206,353.4005388185488
2380,12153.847707498448,3598.7026799408336,352.31171664778384
2400,12187.858698907341,3586.2549249232466,351.21862633789846
