TE_360,,TE_180,,TE_90,,SM_360,,SM_180,,SM_90,,IH_360,,IH_180,,IH_90,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
402.443887147332,259.149003153709,382.08978056426,249.627736185383,572.852990595608,235.062939839572,1190.46581517656,7131.28556149733,1051.6289082818,4228.35705470999,1242.2392476489,98.2263101604278,1275.65965439519,385.398455139632,1095.18369646882,3172.47667939905,761.296769346357,6559.34867390482
421.667210031344,273.500103386809,415.334821316611,268.761969511238,682.878244514103,240.256684491979,1335.38317054846,7130.57112299465,1163.10379702942,4027.54487865076,1353.05605015674,95.6900534759359,1368.88354620586,387.700534759359,1180.80465815177,3504.39881164587,821.986927122464,6964.68188076847
444.21347962382,288.159762677162,453.103448275858,286.764705882353,793.69504702194,242.963215686275,1430.23816679189,7131.28556149733,1271.39368895567,3871.30267379679,1463.87285266458,93.5467379679144,1509.28399699474,389.25548914753,1287.95567242675,3865.19479161362,895.185725018783,7404.43697841157
466.894454260469,301.77853853413,496.20557423767,302.493521957543,904.511849529777,241.864171122995,1517.18858001503,7131.28556149733,1380.17580766341,3731.9871657754,1574.68965517241,91.5463101604278,1641.33703098069,369.251211072664,1382.66274313382,4213.30835148875,966.502629601803,7823.4335828877
506.099059561124,323.685240641711,581.296175548585,312.870427807487,1015.32865203761,240.042352941176,1667.37565740045,7110.6144741533,1504.01427498122,3599.86367201426,1685.50645768025,89.8137967914438,1746.94845980466,394.844919786097,1488.75981652102,4554.9451168027,1045.2384761568,8260.60690783265
553.591974921625,345.564919786096,686.39623824451,320.278262032086,1126.14545454545,237.381069518716,1809.21900826446,7002.09126559715,1625.21788129226,3488.50652406417,1796.32326018809,88.1705882352941,1842.40570999249,486.293048128344,1598.86927122464,4887.3056684492,1104.7830202855,8506.29304812834
603.723385579932,367.569625668449,806.510595611281,324.167486631016,1236.96225705329,234.648342245989,1922.95717505635,6531.15721925134,1751.69120961683,3391.81918003565,1907.14006269592,87.0096256684492,1970.38467317806,709.2871657754,1710.99724517906,5203.65109922757,1179.56273478587,8843.11907308378
661.770282131656,388.574117647059,930.896802507833,324.310374331551,1347.77905956113,232.147807486631,2038.68837773796,6089.52431098314,1878.1645379414,3311.80206773619,2017.95686520376,85.884385026738,2102.28271534008,961.142497640769,1819.88761214478,5506.76670651148,1261.60706235913,9193.1550802139
726.266833855794,410.370445632799,1060.64868891757,320.009454545454,1458.59586206896,229.415080213904,2159.04072126221,5750.99037433155,2004.63786626597,3234.45219251337,2128.7736677116,84.5448128342246,2217.85892619777,1188.47618264089,1937.98873027799,5792.84909600204,1372.27122464313,9626.58110516934
791.056551724132,429.692286096257,1162.02899059561,319.484342245989,1569.4126645768,226.735935828877,2289.20285499624,5388.60518305224,2131.11119459053,3160.43636363637,2239.59047021943,83.2766844919786,2310.28174305034,1370.88698752228,2047.98797896319,6046.49718370361,1482.93538692712,10006.6623885918
867.572915360495,449.170409982175,1275.48428840125,315.846064171123,1680.22946708464,224.306844919786,2434.12021036814,5131.57219251337,2257.5845229151,3087.08734402852,2350.40727272727,82.0978609625669,2413.2169797145,1574.76392156863,2144.57826195843,6289.99453357101,1593.59954921112,10361.9764705882
954.643260188081,468.466203208556,1394.39247648902,311.870213903743,1791.04626959247,222.199251336898,2581.67242674681,4890.09197860963,2383.30503380917,3021.12085561497,2461.22407523511,81.2048128342246,2549.58978211871,1876.81150326797,2256.12071124468,6593.94842543078,1704.26371149512,10677.7582887701
1052.26758620689,486.435955274672,1518.56166429182,307.89777345649,1901.86307210031,218.835947033359,2729.22464312547,4665.75828877005,2510.53117956424,2958.39315508021,2572.04087774295,80.1510160427808,2663.35311795642,2102.06688057041,2369.63545415003,6877.02065859837,1814.92787377911,10975.9172905526
1157.80739811912,503.757841516772,1641.78282131661,303.913155080214,2012.67987460815,218.4055828877,2874.14199849737,4520.0128342246,2637.00450788881,2895.71308377897,2682.85768025078,79.1686631016042,2774.01728024042,2282.05862320687,2480.75725018783,7156.69099465241,1925.59203606311,11235.0203208556
1275.5248806366,520.284977375566,1768.43059561128,300.055187165775,2123.49667711598,216.066392156863,2978.79579263711,4412.46631016043,2763.47783621337,2840.3679144385,2793.67448275862,78.3827807486631,2872.70480158459,2429.37092853671,2589.57700976709,7399.0151600034,2036.25619834711,11496.0285204991
1389.99498432601,534.653434800494,1893.22799658022,296.304385026738,2234.31347962382,213.337832442068,3081.45939485008,4330.79863879436,2889.95116453794,2800.35935828877,2904.49128526646,77.6504812834224,2995.34560480841,2641.19946354299,2695.37681326937,7646.48552858905,2146.9203606311,11757.5130124777
1521.91974921629,547.636980666392,2014.30356402218,292.611287535993,2345.13028213166,211.500534759358,3195.59504132231,4256.00399286988,3016.42449286251,2762.35122994653,3015.30808777429,76.9539037433156,3106.00976709241,2792.06110177404,2810.90533433509,7876.4449197861,2257.5845229151,12024.5224955437
1661.75999999999,558.565828877005,2135.55836990595,288.50807486631,2455.9470846395,209.410802139037,3353.68670172802,4149.31450980392,3140.63936889557,2731.77326203209,3126.12489028213,76.4359358288771,3221.68016528926,2965.35435294118,2920.69120961683,8075.93202614379,2368.2486851991,12251.2175197352
1798.96175548589,566.526502673797,2267.62448275862,284.184605614973,2566.76388714733,207.392513368984,3511.77836213373,4057.29483065954,3276.26232445241,2691.10522418758,3236.94169278997,75.7572192513369,3323.02650092207,3101.3328147788,3030.76984723266,8269.8623885918,2478.9128474831,12497.6713012478
1878.11661442006,545.638957219251,2379.67058421202,280.448721438989,2677.58068965517,205.267058823529,3659.3305785124,3977.75401069519,3401.11419984974,2663.66345811052,3347.7584952978,75.2035294117647,3433.39124718257,3246.70481283422,3143.17517497726,8448.93577258655,2589.57700976709,12732.4834224599
1954.63297805642,525.103315508021,2494.43807486631,275.189575338157,2788.39749216301,203.659572192513,3764.72501878287,3932.02994652406,3527.5875281743,2633.65704099822,3458.57529780564,74.6855614973263,3569.74530428249,3423.43378420887,3259.10905927478,8633.18570222347,2700.24117205109,12959.6748663102
2039.0648275862,505.940126397667,2591.82959247649,273.787850935829,2899.21429467084,202.427165775401,3863.29451540195,3887.92066115703,3654.06085649887,2605.6510516934,3569.39210031348,74.2033155080214,3695.35266716754,3583.1964064171,3375.64387678437,8808.31087344028,2810.90533433509,13138.7607843137
2139.32764890281,488.720534759358,2712.4088275862,269.79871657754,3010.03109717868,201.051871657754,,,3780.53418482344,2578.97868092692,3680.20890282132,73.6317647058823,3810.60856498873,3722.68754095577,3486.89356373654,8969.45644682115,2921.56949661908,13307.8445632799
2242.22896551723,470.979240641711,2813.72704702194,267.573240641711,3120.84789968652,199.890909090909,,,3874.63636363636,2560.30802139038,3791.02570532915,73.5067379679144,3901.73779113449,3823.91158645276,3596.09391435011,9120.59988116459,3032.23365890308,13469.3076648841
2348.84990595611,455.332442067736,2929.36852664576,265.011978609626,3231.66470219435,198.533475935829,,,,,3878.09605015674,72.9753743315508,,,3705.0015026296,9259.51847890672,3142.89782118708,13614.1005347594
2452.25319122256,444.873657754011,3053.8707113576,262.258642533937,3342.48150470219,197.229625668449,,,,,,,,,3817.42223891811,9401.24469462426,3253.56198347107,13757.4645276292
2545.65592476488,434.671475935829,3178.89479623824,259.696556149733,3453.29830721003,196.211550802139,,,,,,,,,3892.95492111195,9496.79144385027,3364.22614575507,13889.3975044563
2642.56066115702,424.479523578026,3303.28100313479,257.296042780749,3564.11510971787,194.96128342246,,,,,,,,,,,3474.89030803907,14012.7572192513
2746.18156739811,415.291369806664,3435.95962382445,255.072352941177,3674.9319122257,193.99679144385,,,,,,,,,,,3585.55447032306,14136.1169340463
2888.66031347962,406.327914438503,3558.83811912225,252.920106951872,3785.74871473354,193.068021390374,,,,,,,,,,,3696.21863260706,14247.0930481283
3036.41605015673,397.576042780749,3688.12438871473,250.888422459893,3902.92363636364,192.126737967914,,,,,,,,,,,3806.88279489106,14356.640285205
3189.44877742946,390.124449197861,3813.75735712563,249.101982723159,,,,,,,,,,,,,3885.92862509391,14432.8470588235
3339.84300940438,383.135454545455,3905.41090909091,247.637727272727,,,,,,,,,,,,,,
3495.51423197492,376.771593582888,,,,,,,,,,,,,,,,
3637.99297805642,371.400802139037,,,,,,,,,,,,,,,,
3773.63736677116,366.687272727273,,,,,,,,,,,,,,,,
3883.04802507837,363.704470588235,,,,,,,,,,,,,,,,
