Inject Height,,Sep. Mass Soyuz,,Sep. Mass Ariane62,,Sep. Mass Ariane64,,Trans. Eff. Soyuz,,Trans. Eff. Ariane62,,Trans. Eff. Ariane64,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
716.1413579585088,6167.697690249113,1082.4471407674641,2726.1658451507647,831.1941410156734,5589.164472238395,1420.6601062942077,8588.36009843262,808.3492942499065,242.71365295092824,437.9269341079482,422.03527820691136,344.5160780721501,604.2818484168818
683.9620135908282,5960.892268029975,1153.2404952060783,2671.534424396177,903.6163414644808,5369.390071031361,1528.6301801776913,8429.276436274187,879.2127022770637,242.59092798782376,489.463958127699,440.1474373450628,357.4003340770878,614.6316536386826
742.4780096132534,6379.551055745975,1224.032448572921,2615.810375226498,974.2441692810213,5185.672407522359,1659.6623702173806,8252.898894367998,950.076110304221,241.36367835678027,555.2656941529165,451.76686153040737,370.2845900820255,637.8062175048888
781.4801115229371,6651.979740575525,1294.837011585701,2569.91998179264,1037.1077577261653,5047.454913013249,1814.0340458133833,8066.205119175982,1020.9395183313782,240.13642872573678,621.5275821783102,457.3596134204489,383.1688460869632,652.4309422748246
823.7018096443813,6923.263767065455,1365.6443767420237,2526.2148451889716,1110.0814800699209,4898.93549344756,1968.4627450304602,7923.981320478204,1091.8029263585354,238.47964172382785,709.8767662121686,457.74532044734826,399.27416609313514,674.0305357811915
869.1467734512709,7196.264781064816,1436.4643515442835,2492.3433643211265,1192.7040834700056,4739.255655070576,2129.3258663552665,7775.748065497419,1162.6663343856926,236.88421720347117,793.6244302442635,453.98467693507905,426.116366103422,697.2050996473976
914.5807288371037,7460.680857517025,1507.2871284900857,2460.6571402834634,1268.4772472885184,4620.78351691991,2286.9723604061123,7630.974800497757,1233.52974241285,235.22743020156247,872.770574274595,449.1753924434271,444.3690621104172,708.7923815805007
959.9970707492456,7711.361033893796,1578.107103292346,2426.78565941562,1348.8497294245826,4500.594391259814,2444.6575006866383,7516.339869281044,1304.393150440007,233.38655575499706,953.2971743054554,442.5098928848216,466.9165101190581,729.6044899069478
1008.6556678731564,7978.56721504883,1648.934083453461,2398.3773206232327,1429.235696876442,4390.921814094976,2608.7712252758483,7391.142863385112,1375.2565584671643,231.4229563453273,1032.903470335963,436.0493001842566,486.24289412646476,742.2042527856619
1063.760735210064,8249.159677125239,1719.7582614710336,2367.7837250006633,1512.861993066385,4296.272877637652,2763.252482646791,7289.906638309878,1446.1199664943215,229.82753182497072,1114.3503743671765,428.5039064705369,524.8956621412779,762.4538716978808
1118.8538155995984,8510.404096094753,1790.5810384168358,2336.097500963002,1596.4882892563282,4201.623941180325,2924.198015731658,7205.942347027056,1516.9833745214787,228.23210730461403,1190.2754543962735,422.2602739726027,553.8852381523875,773.0849216267957
1171.5178267250444,8761.298895910202,1861.4150239368046,2313.152304246074,1680.1357766568058,4123.501009501264,3088.360427564906,7118.714178555563,1587.846782548636,226.51395782115299,1276.7840304294264,414.6425601913394,618.7666701772523,793.6961408767329
1217.1642650232393,8982.090771196896,1932.2546137438571,2294.5776211895154,1765.1507851630709,4035.2907762042996,3242.88673478202,7052.610159442511,1658.7101905757931,225.04125826390066,1351.3286544579942,408.6641012743986,665.3340525950987,802.6831146034891
1280.8251730195661,9226.430812214772,2003.0970056944511,2278.188194963137,1850.6518154589953,3967.2551461431394,3407.0811736789537,6990.358355895487,1729.5735986029504,223.81400863285717,1436.456774490618,402.0106550603838,769.6965262350936,814.1210811648152
1345.5808888759616,9487.24121489718,2073.933793357962,2257.428255076393,1915.01722774682,3923.6865880913556,3568.0549437487407,6928.414729593744,1800.4370066301076,222.58675900181368,1520.2044385227132,396.5263832716578,825.5283022564902,815.7778681667239
1413.556828090529,9747.396040530532,2144.7705810214725,2236.6683151896505,2066.260823804782,3809.5069187142635,3732.2585704432486,6873.328046999533,1871.3004146572648,221.11405944456135,1605.332558555337,390.9215780370258,924.3075982943458,814.7347059803369
1484.7158622613401,9977.940636114898,2215.607368684983,2215.9083753029063,2146.7122913619296,3750.914719954968,3880.371004605273,6829.258700924165,1942.163822684422,219.94817229506987,1687.699766586903,385.7265865184744,982.2867503165655,813.0779189784281
1555.869292145068,10204.114718038894,2286.442755276723,2194.05580700107,2230.3848229203113,3692.3225211956706,,,2013.0272307115793,218.65956018247414,1763.624846616,381.1824756078157,1085.3607983560669,806.9416708232103
1627.0129145263995,10422.640401057251,2357.2795429402336,2173.295867114326,2314.065060373433,3639.7397787193786,,,2083.8906387387365,217.30958558832617,1856.575550651622,375.97543074467376,1141.1925743774636,803.8530925850839
1698.1327186876265,10622.591401019046,2427.480804448476,2159.310223401153,2400.964435354104,3585.654672172337,,,2154.7540467658937,215.59143610486524,1935.721694681953,371.72060010418966,1239.971870415319,797.6759361088314
1769.2455174899987,10817.079258905382,2495.748867127271,2144.8875283219404,2487.867663282145,3534.5742937667965,,,2225.617454793051,214.0573740660608,2024.070878715812,367.29702263943705,1295.8036464367156,793.7282831289745
1840.3443055746625,11000.640832640802,2569.802515576703,2120.8497031899205,2571.551753682637,3484.9962794320054,,,2296.480862820208,212.6460369903607,2107.8185427479066,362.47568480319444,1394.5829424745712,787.0602268003045
1911.420676510992,11166.720351734752,2642.5739031414337,2101.619443084308,2658.4607610317325,3438.422993238719,,,2367.3442708473654,211.35742487776486,2186.964686778238,358.05210733844183,1450.414718495968,783.1534821414824
1982.497047447322,11332.799870828701,2711.4887005496626,2089.1634791522592,2742.1544838006494,3396.3567992576864,,,2438.2076788745226,210.06881276516924,2269.79204680998,353.60442318450805,1549.1940145338235,776.628604936434
2053.5734183836516,11498.879389922651,2782.3310925002565,2072.7740529258826,2829.0731235181697,3357.2953334181548,,,2509.07108690168,208.7802006525734,2359.0615348441916,348.9759388617151,1605.0257905552198,773.2536684510642
2124.653992535294,11668.236794261877,2853.181890881476,2062.9403971900574,2917.366990236217,3314.1560222437274,,,2579.934494928837,207.43022605842555,2442.8091988762862,344.82958832254656,1710.2472145955444,766.5037954803246
2195.7345666869364,11837.594198601102,2924.027084975612,2048.7362277938646,2998.307506898816,3278.0992845456985,,,2650.7979029559942,206.20297642738194,2525.176406907852,340.92430467519,1776.8158706210556,762.4538716978808
2266.813739766808,12005.858974525236,2994.879284428602,2039.9952004731294,3086.617611037922,3247.6227562533168,,,2721.661310983152,204.9143643147862,2607.543614939418,336.92259427110866,1864.8582866547963,757.7289606183631
