Inject Height 90 d,,Inject Height 180 d,,Inject Height 360 d,,Sep. Mass 90 d,,Sep. Mass 180 d,,Sep. Mass 360 d,,Trans. Eff. 90 d,,Trans. Eff. 180 d,,Trans. Eff. 360 d,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
998.8425530750973,44308.80153574857,1629.4895302303344,29186.220674568634,3072.481276462095,12037.08788142592,2710.051587230475,6750.039063371951,2538.3141553398614,6750.039063371951,,,1572.1716615362438,-0.1848255541422077,1872.201388817402,665.7401392888232,1408.6040532054149,1488.9255340520995
1080.9778465879995,44308.80153574857,1667.6092575004036,30219.011585080025,3175.9244791052624,13054.867296145,2792.1868807433775,6750.039063371951,2620.4494488527635,6750.039063371951,,,1654.422801725469,-0.1848255541422077,1956.010315752635,652.6351034621307,1462.5034746172937,1503.7869148864932
1163.1131401009015,44308.80153574857,1705.7267013316764,31248.80019643296,3239.4371875126744,13604.288042143802,2874.3221742562796,6750.039063371951,2702.584742365666,6750.039063371951,,,1736.6739419146943,-0.1848255541422077,2005.8594916248921,627.0555146320228,1557.2169087745838,1530.087055514632
1245.248433613804,44308.80153574857,1743.800759825814,32221.54512377509,3328.1404121508,14385.88658973042,2956.457467769182,6750.039063371951,2784.720035878568,6750.039063371951,,,1818.9250821039195,-0.1848255541422077,2024.5529325769885,588.6501037969597,1672.5821443646655,1551.8065454267157
1327.3837271267062,44308.80153574857,1781.9501718002384,33293.3659233465,3431.518346501699,15317.850286836758,3038.592761282084,6750.039063371951,2866.85532939147,6750.039063371951,,,1901.1762222931443,-0.1848255541422077,2043.2463735290844,550.1726377820933,1771.6980840703131,1565.7898613808347
1409.5190206396082,44308.80153574857,1820.0036793452073,34239.090158262465,3487.896450389204,15813.229647983215,3120.7280547949863,6750.039063371951,2948.9906229043727,6750.039063371951,,,1983.4273624823695,-0.1848255541422077,2065.6785026716,502.4000535726243,1818.9250821039363,1548.7493470836403
1491.6543141525108,44308.80153574857,1858.077737839345,35211.83508560459,3583.7371338457324,16652.622454370263,3202.863348307889,6750.039063371951,3031.1259164172748,6750.039063371951,,,2065.6785026715947,-0.1848255541422077,2084.371943623696,462.81473916828463,1865.6586844841772,1499.8689144846985
1573.7896076654129,44308.80153574857,1899.967422562564,36292.6627826514,3692.220592691622,17635.518012200526,3284.998641820791,6750.039063371951,3113.2612099301773,6750.039063371951,,,2147.9296428608195,-0.1848255541422077,2103.0653845757925,422.9592178396838,1899.3068781979505,1470.6865666644346
1655.924901178315,44308.80153574857,1941.8502569693933,37364.48358222282,3743.4903177856404,18076.212638674973,3367.133935333693,6750.039063371951,3195.3965034430794,6750.039063371951,,,2230.1807830500447,-0.1848255541422077,2121.7588255278883,383.1036965110827,1946.0404805781918,1421.6440099109357
1738.0601946912175,44308.80153574857,2028.182400638345,39481.10448893949,3839.34146700332,18929.36598287164,3449.2692288465955,6750.039063371951,3277.5317969559815,6750.039063371951,,,2312.43192323927,1.0532134442937604,2136.7135782895652,348.38210674345396,1996.886639967894,1371.709770307373
1820.1954882041196,44308.80153574857,1983.7011232330706,38394.27219357576,3899.5062735618167,19494.798991048905,3531.404522359498,6750.039063371951,3359.667090468884,6750.039063371951,,,2394.683063428495,-0.1848255541422077,2155.407019241662,309.7605303689811,2041.7508982529257,1345.4456572691356
1902.3307817170216,44308.80153574857,2066.6209410753686,40127.02770788889,,,3613.5398158723992,6750.039063371951,3441.802383981786,6750.039063371951,,,2476.93420361772,-0.1848255541422077,2174.100460193758,271.3731333288688,2110.5427609566404,1308.1571017210206
1984.4660752299242,44308.80153574857,2130.338669666159,41156.38741936204,,,3695.6751093853018,6750.039063371951,3523.937677494688,6750.039063371951,,,2559.185343806945,-0.1848255541422077,2189.055212955435,236.7866470233705,2194.0401305426717,1263.0325453693163
2066.6013687428263,44308.80153574857,2195.103518047952,42160.013138048365,,,3777.8104028982043,6750.039063371951,3606.0729710075902,6750.039063371951,,,2641.4364839961704,-0.1848255541422077,2207.748653907531,196.89895820378615,2248.874224002155,1233.1746802383982
2148.736662255729,44308.80153574857,2248.5743150391004,43040.3301412978,,,3859.945696411106,6750.039063371951,3688.208264520493,6750.039063371951,,,2723.687624185395,-0.1848255541422077,2230.1807830500466,146.7923008485518,2316.1706114297026,1201.357814906583
2230.871955768631,44308.80153574857,2320.3858703746564,44192.80361371703,,,3904.781017181911,6795.073550748901,3770.3435580333944,6750.039063371951,,,2805.9387643746204,-0.1848255541422077,2276.2912707318833,2.0376263979105715,2420.319782448526,1166.4142694511675
2326.44757003819,44308.80153574857,2402.6093876592445,44308.80153574857,,,,,3852.478851546297,6750.039063371951,,,2888.1899045638456,-0.1848255541422077,2248.874224002143,110.2217236991894,2482.916104722404,1146.6814437822272
2395.1425427944355,44308.80153574857,2484.744681172147,44308.80153574857,,,,,3901.0133431675577,6750.039063371951,,,2970.4410447530704,-0.1848255541422077,2267.567664954239,69.60061608518026,2562.924031997377,1120.0930824348757
2477.2778363073376,44308.80153574857,2566.879974685049,44308.80153574857,,,,,,,,,3052.6921849422956,-0.1848255541422077,2282.5224177159157,38.72497153954305,2672.2806615671416,1084.2231132391348
2559.4131298202396,44308.80153574857,2649.015268197951,44308.80153574857,,,,,,,,,3134.943325131521,-0.1848255541422077,2357.2961815243016,-0.1848255541422077,2726.18008297902,1070.3750083707228
2641.548423333142,44308.80153574857,2731.1505617108537,44308.80153574857,,,,,,,,,3217.194465320746,-0.1848255541422077,2439.547321713527,-0.1848255541422077,2828.3708935171476,1050.199558025849
2723.6837168460443,44308.80153574857,2813.285855223756,44308.80153574857,,,,,,,,,3299.445605509971,-0.1848255541422077,2521.798461902752,-0.1848255541422077,2951.213505488068,1026.9874965321292
2805.8190103589463,44308.80153574857,2895.421148736658,44308.80153574857,,,,,,,,,3381.696745699196,-0.1848255541422077,2604.0496020919772,-0.1848255541422077,3006.332451381107,1016.6578718274963
2887.954303871849,44308.80153574857,2977.5564422495604,44308.80153574857,,,,,,,,,3463.9478858884213,-0.1848255541422077,2686.300742281202,-0.1848255541422077,3119.9885723698544,998.0578097319543
2970.089597384751,44308.80153574857,3059.6917357624625,44308.80153574857,,,,,,,,,3546.199026077646,-0.1848255541422077,2768.5518824704272,-0.1848255541422077,3242.831184340775,978.3502501650228
3052.2248908976535,44308.80153574857,3141.827029275365,44308.80153574857,,,,,,,,,3628.4501662668713,-0.1848255541422077,2850.8030226596525,-0.1848255541422077,3288.2295409387234,970.938860242416
3134.3601844105556,44308.80153574857,3223.962322788267,44308.80153574857,,,,,,,,,3710.7013064560965,-0.1848255541422077,2933.0541628488772,-0.1848255541422077,3415.3449394129802,952.1324583138016
