Isp Ariane62,Inject Height Ariane62,Sep. Mass Ariane62,Trans. Eff. Ariane62
1620,10401.099440876498,8306.286931025219,793.790975956001
1640,10459.153166491038,8279.36567727028,792.0876360274931
1660,10515.382511416823,8252.490572190429,790.3618534920893
1680,10571.611856342608,8228.303003522637,788.8532734641554
1700,10627.698267133597,8204.115434854846,787.3225849469501
1720,10682.396678998059,8179.927866187054,785.7598520009175
1740,10737.09509086252,8155.740297519263,784.1175520046629
1760,10791.79350272698,8131.552728851471,782.456919091797
1780,10844.844988637584,8107.36516018368,780.77809841271
1800,10896.480629323001,8083.177591515889,779.0814233121115
1820,10948.11627000842,8060.710669817933,777.5340635329312
1840,10999.751910693838,8042.291321676193,776.3543828265977
1860,11046.569011508318,8023.871973534451,775.1586780567787
1880,11093.301706750377,8005.45262539271,773.9444018462596
1900,11140.034401992436,7987.033277250969,772.7055221997645
1920,11186.767097234493,7968.613929109228,771.4536165210212
1940,11233.499792476552,7950.194580967487,770.1972243482298
1960,11280.23248771861,7931.775232825746,768.931355256021
1980,11326.965182960668,7913.349891449639,767.652722499368
2000,11373.697878202727,7894.920153948589,766.33077334665
2020,11420.430573444784,7876.490416447539,764.9619622908167
2040,11467.163268686843,7858.060678946489,763.5830940632825
2060,11514.191438176467,7839.63094144544,762.1935879349452
2080,11561.84367125436,7821.20120394439,760.7949047440542
2100,11609.495904332254,7802.771466443341,759.3844573219639
2120,11657.148137410146,7784.3417289422905,757.9527121571091
2140,11704.80037048804,7765.945569171098,756.5161117475585
2160,11752.452603565933,7747.578745871752,755.0744618672361
2180,11800.104836643824,7729.211922572406,753.6251130229596
2200,11847.691701843514,7710.84509927306,752.1654039049702
2220,11895.037434393063,7692.478275973715,750.6979725927953
2240,11942.38316694261,7674.1114526743695,749.2234901008766
2260,11989.72889949216,7655.744629375024,747.7421348823666
2280,12035.861986005631,7637.377806075679,746.2553739300605
2300,12081.368461609494,7621.503885444477,745.006119875244
2320,12126.874937213355,7606.964160139635,743.8811242114076
2340,12172.089506288727,7592.424434834794,742.7446707272824
2360,12214.836280509366,7577.8847095299525,741.5998274476656
2380,12257.583054730005,7563.34498422511,740.448792795398
2400,12300.329828950644,7548.805258920269,739.2896124323967
2420,12342.56790037903,7534.265533615428,738.1252387272508
2440,12384.394556470781,7519.725808310586,736.9549918929689
2460,12426.221212562532,7504.6355771397175,735.7029944941039
2480,12468.047868654283,7489.378229686382,734.4301809771998
2500,12509.874524746032,7474.120882233046,733.1530317943369
2520,12551.701180837783,7458.86353477971,731.8907159046198
2540,12593.527836929532,7443.606187326374,730.628885998754
2560,12636.177897502494,7428.348839873039,729.3625707171874
2580,12679.84468100524,7413.091492419703,728.0763466535825
2600,12723.511464507985,7397.834144966367,726.7589434033015
2620,12767.178248010732,7383.784308796424,725.5567764283702
2640,12808.376299056796,7370.677705859843,724.4440318598929
2660,12849.282728153557,7357.571102923262,723.329552447999
2680,12890.189157250321,7344.464499986681,722.2161104788631
2700,12929.312182337446,7331.3578970501,721.099537378588
2720,12965.001934503309,7318.25129411352,719.9799000204964
2740,13000.691686669174,7305.144691176939,718.8593263280518
2760,13036.381438835037,7292.038088240359,717.7512628530163
2780,13066.487061293581,7281.169561869444,716.8603742882894
2800,13095.11338491941,7270.73568530593,715.989191068265
2820,13123.739708545241,7260.301808742416,715.1109757717963
2840,13153.17996957971,7249.867932178902,714.2302930791656
2860,13185.185254530024,7239.434055615388,713.3472385875272
2880,13217.19053948034,7229.000179051874,712.4620920377683
2900,13249.195824430653,7218.56630248836,711.5762253894927
2920,13279.29242439389,7208.132425924846,710.6896156400466
2940,13308.533213739667,7197.545917353843,709.7856706365692
2960,13337.774003085444,7186.91885997848,708.8754817920925
2980,13367.014792431219,7176.2918026031175,707.9671328451932
3000,13396.255581776995,7165.664745227755,707.0602592984595
3020,13425.496371122772,7155.037687852392,706.1413202217576
3040,13454.737160468549,7144.410630477029,705.1943092394146
3060,13482.162602289034,7133.783573101667,704.245695620586
3080,13508.330577895456,7123.156515726304,703.2955099135496
3100,13534.498553501879,7113.734945358486,702.4628206012109
3120,13560.628122610826,7105.17924758721,701.7283327185191
3140,13585.874017538521,7096.623549815933,700.9924753856811
3160,13611.119912466216,7088.067852044656,700.2550085197819
3180,13636.365807393911,7079.5121542733805,699.5159617607917
3200,13662.368911511096,7070.956456502104,698.7752714339705
3220,13689.151546904804,7062.400758730827,698.0329623937172
3240,13715.934182298512,7053.84506095955,697.28916080108
3260,13742.716817692219,7046.121927371104,696.6186814428443
3280,13767.46955241966,7038.539234075857,695.9602281608912
3300,13792.10066622129,7030.956540780611,695.304316442658
3320,13816.73178002292,7023.373847485365,694.6510562296132
3340,13840.634821231819,7015.791154190119,693.9964580719811
3360,13863.421300358817,7008.208460894873,693.339752979739
3380,13886.207779485814,7000.625767599627,692.6752597655288
3400,13908.994258612813,6993.043074304381,692.0095948178034
3420,13932.040962388965,6985.38711772705,691.3348282355381
3440,13955.134910975976,6977.691003475034,690.6491293342254
3460,13978.228859562985,6969.994889223019,689.9624018861231
3480,14000.864767534793,6962.298774971002,689.2746632949359
3500,14022.421247407494,6954.602660718986,688.5871532491707
3520,14043.977727280195,6946.906546466969,687.905012774665
3540,14065.534207152896,6939.2104322149535,687.221903616204
3560,14087.551859325953,6931.514317962938,686.5384373844802
3580,14109.723363110093,6924.40742758995,685.9123024233859
Isp Soyuz,Inject Height Soyuz,Sep. Mass Soyuz,Trans. Eff. Soyuz
260,2854.1452228300714,4273.652674600988,149.97306362926574
280,2931.820196641857,4230.592777053816,161.78051400979413
300,3024.851429010635,4187.532879506643,172.64871699643197
320,3150.6499761982636,4132.5092063287975,182.3747084302583
340,3277.258599507452,4073.696849477225,191.61627354558806
360,3420.6590262234936,4014.884492625653,200.54212849799575
380,3564.839813864919,3956.0428836134797,208.72373421946034
400,3711.264922355654,3897.1031363022425,215.57325461398656
420,3865.3798570272143,3838.163388991005,222.04365807162208
440,4046.607509851194,3779.2236416797673,227.72400250129624
460,4223.2908820628845,3721.7054049391395,233.08387533291733
480,4391.604231383427,3664.906036707579,237.24665450382093
500,4554.62968695353,3608.1066684760185,241.01560843717357
520,4715.919013761318,3552.9657028184006,243.8454301480411
540,4879.849617975987,3505.9512731664427,245.92141911864204
560,5038.981456247772,3458.9368435144847,247.6922875860089
580,5192.675965614064,3411.9224138625273,248.94074651555064
600,5347.416093787391,3370.4379934020467,250.260927682631
620,5501.601054973433,3332.105401484803,251.57479373749797
640,5642.33698501825,3293.77280956756,252.57896191856494
660,5784.740764504234,3255.916440815491,253.40464687124467
680,5931.766391426644,3222.2308707222246,254.18467035895418
700,6063.9628126935495,3188.5453006289586,254.71291673817296
720,6198.736803096639,3154.859730535692,255.0134267358747
740,6359.617820375611,3121.700893364941,255.1985402875483
760,6501.941710683272,3088.94439617985,254.9263100962969
780,6641.641199423857,3056.18789899476,254.36773289764508
800,6770.97424197504,3023.6824783487427,253.69102352894072
820,6899.478797007205,2998.9733222838895,253.52106907072516
840,7021.171700546171,2974.2641662190363,253.25661111639252
860,7141.317472983985,2949.5550101541826,252.84570056292264
880,7259.428279740891,2925.9146582884946,252.42084420819702
900,7375.824078524749,2903.370678411181,252.01246529182438
920,7490.593082803166,2880.8266985338673,251.52682580643392
940,7600.985142499085,2858.2827186565537,250.97223346696308
960,7711.3771197235155,2837.2162400247284,250.4416509812023
980,7821.206090120909,2816.2184471417645,249.8197577015728
1000,7931.035060518302,2795.2206542588,249.11759675592057
1020,8034.273358043762,2776.286079391725,248.46117323365107
1040,8132.48300559651,2760.2340284491224,248.01838688878507
1060,8230.692653149259,2744.18197750652,247.48099142689978
1080,8326.16421679779,2728.1299265639173,246.90430077355535
1100,8421.001687174248,2712.620256786108,246.3409512826407
1120,8515.864593682098,2697.1862033533216,245.7356638651188
1140,8611.145904183804,2681.7521499205354,245.0904989526967
1160,8706.427214685511,2666.2136646263866,244.4032498804476
1180,8802.327177934085,2650.47061855421,243.655757175602
1200,8899.067201260472,2634.7275724820333,242.88072549983218
1220,8992.974744145844,2618.9845264098567,242.0746269910083
1240,9069.737721209249,2605.461364004838,241.44855329671125
1260,9146.500698272654,2592.498811457038,240.82904498408206
1280,9223.263675336057,2579.5362589092383,240.11907984566884
1300,9303.659428715944,2566.733178930651,239.4058324527359
1320,9384.211515657826,2554.388379344568,238.72543430214415
1340,9464.763602599707,2542.0435797584855,238.0334292490823
1360,9542.425466613384,2529.698780172403,237.31858595184394
1380,9618.968675472086,2519.348897836036,236.76753974170956
1400,9695.511884330788,2509.7833816204716,236.27636259394907
1420,9768.27095092608,2500.2178654049067,235.76831807827534
1440,9833.067950568027,2490.7615095292426,235.25400616838343
1460,9897.864950209974,2481.813477440099,234.77339903084174
1480,9962.661949851921,2472.865445350956,234.26527415949033
1500,10026.524039988613,2463.917413261813,233.74664890294713
1520,10090.097667372027,2454.5768813547397,233.1806082084497
1540,10153.67129475544,2445.0113651391757,232.56433341814594
1560,10216.802654429173,2435.4458489236117,231.93712009400772
1580,10278.234916578282,2426.026428246259,231.3151509921116
1600,10339.66717872739,2418.004530735518,230.81711924642954
1620,10401.099440876498,2409.982633224777,230.3101834008509
1640,10459.153166491038,2401.960735714036,229.79579295619024
1660,10515.382511416823,2393.597227362794,229.24084851512262
1680,10571.611856342608,2384.957919013891,228.64761551475746
1700,10627.698267133597,2376.3186106649882,228.0476580397367
1720,10682.396678998059,2367.6755707949446,227.43775208389843
1740,10737.09509086252,2358.727538705802,226.77520323428482
1760,10791.79350272698,2349.7795066166595,226.10702956752573
1780,10844.844988637584,2340.831474527517,225.4332833510619
1800,10896.480629323001,2333.0464242120834,224.86616287339422
1820,10948.11627000842,2326.5678400837173,224.42013128678485
1840,10999.751910693838,2320.0892559553517,223.9674478783274
1860,11046.569011508318,2313.610671826986,223.50997072570155
1880,11093.301706750377,2308.2791811671877,223.15786923727833
1900,11140.034401992436,2303.03502797343,222.80712026118687
1920,11186.767097234493,2297.7908747796714,222.45262427413564
1940,11233.499792476552,2292.7857218317354,222.11999731523014
1960,11280.23248771861,2288.1587108641193,221.82133594811995
1980,11326.965182960668,2283.531699896503,221.51924916567003
2000,11373.697878202727,2278.9046889288866,221.20487080249106
2020,11420.430573444784,2273.234481542985,220.77572850429067
2040,11467.163268686843,2267.373137297575,220.32507336221906
2060,11514.191438176467,2261.511793052164,219.87129248533344
2080,11561.84367125436,2255.650448806754,219.41480900278592
2100,11609.495904332254,2249.7891045613437,218.95487848177754
2120,11657.148137410146,2243.927760315934,218.4887548670332
2140,11704.80037048804,2238.066416070524,218.02023821024332
2160,11752.452603565933,2232.2050718251135,217.54939170947574
2180,11800.104836643824,2226.343727579703,217.0762763568789
2200,11847.691701843514,2220.4823833342925,216.6001271225075
2220,11895.037434393063,2214.553257748605,216.11509076120376
2240,11942.38316694261,2208.383299665992,215.60445837408818
2260,11989.72889949216,2202.213341583379,215.0917755516113
