Fig3_TE_360,,Fig3_TE_90,,Fig3_TE_180,,Fig3_SM_360,,Fig3_SM_180,,Fig3_SM_90,,Fig3_IH_360,,Fig3_IH_180,,Fig3_IH_90,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
421.6672100313442,273.5001033868093,682.8782445141034,240.25668449197866,382.08978056425985,249.6277361853833,1335.3831705484597,7130.571122994652,1051.6289082818007,4228.3570547099935,1242.2392476489017,98.22631016042783,1275.6596543951916,385.39845513963155,1095.183696468821,3172.4766793990493,761.2967693463568,6559.348673904824
444.21347962382026,288.15976267716246,793.6950470219402,242.9632156862745,496.2055742376705,302.4935219575433,1430.2381667918858,7131.285561497327,1163.103797029417,4027.5448786507604,1353.0560501567384,95.69005347593588,1368.88354620586,387.70053475935856,1180.8046581517656,3504.3988116458713,895.1857250187827,7404.4369784115715
466.8944542604687,301.7785385341303,904.5118495297774,241.86417112299466,581.296175548585,312.87042780748664,1517.1885800150262,7131.285561497327,1271.3936889556724,3871.302673796794,1463.8728526645755,93.5467379679144,1509.2839969947408,389.25548914753017,1287.9556724267468,3865.194791613616,966.5026296018032,7823.433582887701
506.09905956112414,323.68524064171123,1015.3286520376142,240.0423529411765,686.3962382445096,320.27826203208554,1667.3756574004506,7110.614474153299,1380.175807663411,3731.987165775401,1574.689655172413,91.54631016042777,1641.337030980687,369.25121107266386,1382.6627431338177,4213.308351488753,1045.2384761568037,8260.60690783265
553.5919749216251,345.56491978609625,1126.1454545454512,237.3810695187164,806.5105956112808,324.16748663101606,1809.219008264463,7002.091265597148,1504.014274981217,3599.863672014262,1685.5064576802497,89.81379679144379,1746.9484598046583,394.8449197860973,1488.759816521017,4554.945116802703,1104.783020285499,8506.293048128344
603.7233855799321,367.5696256684492,1236.9622570532883,234.64834224598934,930.8968025078328,324.3103743315508,1922.9571750563487,6531.157219251338,1625.2178812922616,3488.5065240641707,1796.3232601880868,88.17058823529408,1842.4057099924867,486.2930481283438,1598.869271224643,4887.3056684492,1179.562734785875,8843.119073083775
661.770282131656,388.5741176470588,1347.779059561125,232.14780748663105,1060.6486889175685,320.0094545454545,2038.6883777379644,6089.524310983135,1751.6912096168294,3391.8191800356526,1907.140062695924,87.00962566844919,1970.3846731780618,709.2871657754004,1710.9972451790632,5203.651099227571,1261.6070623591283,9193.155080213905
726.2668338557936,410.3704456327986,1458.595862068962,229.41508021390376,1162.028990595607,319.4843422459893,2159.0407212622085,5750.990374331552,1878.1645379413976,3311.8020677361874,2017.956865203761,85.88438502673796,2102.2827153400804,961.1424976407689,1819.887612144783,5506.766706511482,1372.2712246431254,9626.581105169342
791.056551724132,429.6922860962567,1569.4126645767992,226.73593582887707,1275.4842884012496,315.84606417112303,2289.2028549962433,5388.605183052243,2004.6378662659654,3234.4521925133704,2128.7736677115977,84.54481283422456,2217.8589261977686,1188.4761826408903,1937.9887302779857,5792.849096002037,1482.9353869271226,10006.662388591802
867.5729153604954,449.17040998217465,1680.2294670846363,224.3068449197861,1394.3924764890235,311.8702139037433,2434.1202103681444,5131.572192513371,2131.111194590534,3160.436363636365,2239.590470219435,83.27668449197859,2310.2817430503383,1370.8869875222808,2047.987978963185,6046.497183703606,1593.5995492111192,10361.976470588237
954.6432601880812,468.4662032085562,1791.046269592474,222.19925133689839,1518.5616642918171,307.89777345649003,2581.672426746807,4890.091978609626,2257.584522915102,3087.0873440285213,2350.407272727272,82.09786096256687,2413.2169797145,1574.7639215686286,2144.578261958427,6289.994533571005,1704.2637114951162,10677.758288770052
1052.26758620689,486.43595527467187,1901.8630721003105,218.83594703335888,1641.7828213166104,303.9131550802139,2729.2246431254694,4665.758288770054,2383.305033809166,3021.120855614974,2461.2240752351086,81.20481283422464,2549.5897821187077,1876.8115032679707,2256.1207112446778,6593.948425430779,1814.9278737791133,10975.917290552585
1157.807398119115,503.757841516772,2012.6798746081477,218.40558288770052,1768.4305956112812,300.0551871657754,2874.1419984973704,4520.012834224599,2510.5311795642374,2958.3931550802135,2572.0408777429457,80.15101604278084,2663.353117956424,2102.066880570408,2369.635454150026,6877.020658598369,1925.5920360631103,11235.020320855616
1275.5248806365976,520.2849773755656,2123.4966771159848,216.06639215686278,1893.2279965802181,296.304385026738,2978.7957926371137,4412.466310160429,2637.004507888805,2895.7130837789664,2682.857680250783,79.16866310160424,2774.017280240421,2282.058623206867,2480.757250187829,7156.690994652408,2036.2561983471073,11496.028520499109
1389.9949843260115,534.6534348004936,2234.313479623822,213.3378324420678,2014.3035640221806,292.6112875359934,3081.4593948500797,4330.798638794358,2763.4778362133734,2840.367914438504,2793.67448275862,78.3827807486631,2872.704801584591,2429.370928536706,2589.5770097670925,7399.015160003395,2146.9203606311044,11757.513012477719
1521.919749216293,547.6369806663924,2345.1302821316585,211.5005347593583,2135.558369905952,288.50807486631015,3195.595041322314,4256.003992869875,2889.951164537941,2800.3593582887715,2904.4912852664565,77.65048128342244,2995.345604808415,2641.199463542991,2695.376813269375,7646.485528589052,2257.5845229151014,12024.522495543672
1661.759999999992,558.5658288770053,2455.9470846394956,209.4108021390374,2267.6244827586165,284.1846056149733,3353.686701728024,4149.314509803919,3016.4244928625094,2762.3512299465256,3015.3080877742937,76.95390374331555,3106.0097670924115,2792.061101774043,2810.9053343350865,7876.444919786098,2368.2486851990984,12251.217519735168
1798.9617554858855,566.5265026737968,2566.7638871473328,207.392513368984,2379.6705842120223,280.44872143898885,3511.778362133734,4057.294830659537,3140.6393688955673,2731.7732620320858,3126.1248902821308,76.43593582887706,3221.6801652892564,2965.354352941182,2920.69120961683,8075.9320261437915,2478.9128474830954,12497.671301247772
1878.1166144200556,545.6389572192513,2677.58068965517,205.2670588235294,2494.438074866306,275.18957533815666,3659.3305785123966,3977.754010695189,3276.262324452407,2691.1052241875786,3236.941692789968,75.75721925133689,3323.026500922068,3101.3328147788034,3030.769847232657,8269.8623885918,2589.5770097670925,12732.483422459893
